node_type_id model_type morphology dynamics_params rotation_angle_zaxis population pop_name location ei model_processing model_template
476131588 biophysical Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc 476131588_fit.json -3.6803651760000005 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
476216637 biophysical Scnn1a-Tg3-Cre_Ai14-187852.05.02.01_491392856_m.swc 476216637_fit.json -3.815497334 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
476218657 biophysical Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc 476218657_fit.json -3.84662346 v1 e4Scnn1a VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
476451456 biophysical Nr5a1-Cre_Ai14-187777.05.02.01_491392821_m.swc 476451456_fit.json -3.5248021260000004 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
476455864 biophysical Nr5a1-Cre_Ai14-187779.04.01.01_491771365_m.swc 476455864_fit.json -2.679373959 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
476457450 biophysical Nr5a1-Cre_Ai14-187780.03.02.01_491253858_m.swc 476457450_fit.json -3.650025723 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
476616076 biophysical Rorb-IRES2-Cre-D_Ai14-188712.05.02.01_495889950_m.swc 476616076_fit.json -3.988890071 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
476686112 biophysical Sst-IRES-Cre_Ai14-188740.03.02.01_491119369_m.swc 476686112_fit.json -2.5865549619999997 v1 i23Sst VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
476754635 biophysical Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc 476754635_fit.json -3.9631190480000003 v1 i6Sst VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
477127614 biophysical Slc17a6-IRES-Cre_Ai14-190263.04.01.01_491392956_m.swc 477127614_fit.json -2.368027638 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
477135941 biophysical Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc 477135941_fit.json -2.7692106180000002 v1 e4other VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
478058328 biophysical Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc 478058328_fit.json -2.322233391 v1 i6Pvalb VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
478107198 biophysical Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc 478107198_fit.json -3.465523998 v1 i1Htr3a VisL1 i aibs_perisomatic ctdb:Biophys1.hoc
478110866 biophysical Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc 478110866_fit.json -3.00089717 v1 i5Htr3a VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
478396248 biophysical Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc 478396248_fit.json -3.931328536 v1 i5Sst VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
478497530 biophysical Rorb-IRES2-Cre-D_Ai14-192794.05.02.01_491770902_m.swc 478497530_fit.json -3.76152635 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
478499902 biophysical Rorb-IRES2-Cre-D_Ai14-192794.05.01.01_492413653_m.swc 478499902_fit.json -2.314135656 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
478793814 biophysical Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc 478793814_fit.json -3.8812231660000003 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
478828646 biophysical Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc 478828646_fit.json -2.6956306530000003 v1 i6Pvalb VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
478888052 biophysical Scnn1a-Tg2-Cre_Ai14-193643.06.02.01_491771435_m.swc 478888052_fit.json -3.6731817280000003 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
478888083 biophysical Scnn1a-Tg2-Cre_Ai14-193643.04.01.01_491770923_m.swc 478888083_fit.json -2.49750436 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
478892782 biophysical Scnn1a-Tg2-Cre_Ai14-193643.02.02.01_491770934_m.swc 478892782_fit.json -3.979349164 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
479010903 biophysical Pvalb-IRES-Cre_Ai14-195278.05.01.01_491771423_m.swc 479010903_fit.json 1.02756095 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
479179020 biophysical Rorb-IRES2-Cre-D_Ai14-194017.03.01.01_491770945_m.swc 479179020_fit.json -2.7794017319999997 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
479220013 biophysical Htr3a-Cre_NO152_Ai14-195039.04.02.01_491119581_m.swc 479220013_fit.json -2.769132551 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
479704527 biophysical Rbp4-Cre_KL100_Ai14-196623.04.01.01_491119548_m.swc 479704527_fit.json -2.2495250380000003 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
479728896 biophysical Rbp4-Cre_KL100_Ai14-196624.06.02.01_491253814_m.swc 479728896_fit.json -3.2269588810000003 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
479770916 biophysical Rorb-IRES2-Cre-D_Ai14-196664.06.02.01_491392810_m.swc 479770916_fit.json 0.940011403 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
480087928 biophysical Rorb-IRES2-Cre-D_Ai14-197330.06.01.01_491770970_m.swc 480087928_fit.json -2.7445394430000003 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
480116737 biophysical Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc 480116737_fit.json -3.94338236 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
480124551 biophysical Rorb-IRES2-Cre-D_Ai14-197352.06.01.01_491253869_m.swc 480124551_fit.json -3.665282677 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
480169178 biophysical Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc 480169178_fit.json -3.84144964 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
480351780 biophysical Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc 480351780_fit.json -2.3989549830000003 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
480353286 biophysical Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc 480353286_fit.json -3.273965814 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
